"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0,0,14488.5895475,3058.31958121
-20.0,0,0,23769.1306424,2726.67043436
20.0,0,0,23606.1325819,3232.32827139
-20.0,0,0,22305.2872602,2686.56938887
20.0,0,0,22443.9493067,3179.96169305
-20.0,0,0,23808.1263848,2727.80126846
20.0,0,0,23436.8702566,3220.550035
-20.0,0,0,22571.4464211,2695.545946
20.0,0.137083053589,0,22493.3569623,3182.52428377
-20.0,0.13631606102,1.03087997437,23883.40397,2729.17481697
