"Setpoint","Settling Time","Overshoot","SSE","SAE"
20.0,0.15820479393,0,4631.2632826,567.003452489
-20.0,0.229652166367,1.7020778656,18184.81026,841.497460604
20.0,0.404661178589,0,15610.9641812,848.88838613
-20.0,0.409478902817,1.81813240051,19112.7997677,871.57131505
20.0,0.579494953156,0,15759.3604521,851.313337803
-20.0,0.229285955429,1.13984680176,18883.7881187,873.674153209
20.0,0.135864019394,0,15309.3449808,850.996592283
-20.0,0.272850990295,1.03087997437,18316.7169599,894.379549861
20.0,0.414925813675,0,15372.033569,838.817379951
-20.0,0.213381052017,1.7020778656,19742.1599689,889.411714554
